model,year,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,seating_capacity,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,annual_sales_units,customer_rating,warranty_years,range_efficiency,price_per_range_mile,power_to_weight,torque_to_weight,battery_to_weight,vehicle_age,drive_type_FWD,drive_type_RWD,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Truck,body_type_Van,country_of_origin_Germany,country_of_origin_Japan,country_of_origin_South Korea,country_of_origin_Sweden,country_of_origin_US,market_segment_Luxury,market_segment_Mid-range,market_segment_Premium,brand_BMW,brand_BYD,brand_Fisker,brand_Ford,brand_GM/Chevrolet,brand_Honda,brand_Hyundai,brand_Kia,brand_Lucid,brand_Mercedes,brand_NIO,brand_Polestar,brand_Porsche,brand_Rivian,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Xiaomi,variant_Long Range,variant_Performance,variant_Premium,variant_Standard
EV6,2023,37474.58,58.6,209.0,135.7,7.4,141.0,306.0,230.0,5,52.5,2381.0,5,1,67143,3.33,4,3.5665529010238908,179.30421052631579,0.12851742965140697,0.09659806803863923,0.024611507769844602,3,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i3,2026,148406.75,116.4,409.0,231.2,4.17,187.0,1000.0,922.0,5,25.9,1500.0,4,2,27898,3.83,6,3.513745704467354,362.85268948655255,0.6666666666666666,0.6146666666666667,0.0776,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Qin,2024,46656.51,45.6,150.0,62.6,6.11,167.0,542.0,509.0,5,50.9,2255.0,5,0,249607,3.33,4,3.289473684210526,311.0434,0.24035476718403548,0.22572062084257205,0.020221729490022173,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model X,2021,97027.76,71.4,235.0,273.3,6.57,150.0,685.0,574.0,5,69.8,1693.0,4,2,229836,3.91,4,3.291316526610644,412.88408510638294,0.40460720614294154,0.3390431187241583,0.042173656231541644,5,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
EQG,2026,129546.31,72.0,248.0,143.1,5.2,174.0,759.0,725.0,5,57.9,2639.0,4,1,57503,3.59,6,3.4444444444444446,522.3641532258065,0.28760894278135657,0.27472527472527475,0.027283061765820387,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2025,93833.94,111.8,383.0,189.1,3.06,200.0,651.0,663.0,5,23.1,1500.0,5,0,6307,3.42,4,3.4257602862254024,244.9972323759791,0.434,0.442,0.07453333333333333,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
i30,2023,37474.79,56.5,218.0,51.4,7.69,134.0,268.0,228.0,7,74.3,1504.0,4,0,129662,3.46,3,3.8584070796460175,171.90270642201835,0.17819148936170212,0.15159574468085107,0.03756648936170213,3,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cybertruck,2025,127335.12,71.9,270.0,329.2,5.09,175.0,976.0,906.0,5,73.5,2328.0,5,3,188107,3.78,4,3.755215577190542,471.6115555555555,0.41924398625429554,0.38917525773195877,0.030884879725085912,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Atto 3,2024,50360.89,69.3,238.0,62.5,7.82,139.0,602.0,568.0,7,22.9,1615.0,5,1,209468,3.18,4,3.4343434343434347,211.60037815126051,0.37275541795665634,0.35170278637770896,0.04291021671826625,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model 3,2024,152844.99,77.1,281.0,258.1,5.34,172.0,1000.0,937.0,5,59.8,2696.0,4,3,153103,4.05,5,3.6446173800259407,543.9323487544484,0.37091988130563797,0.3475519287833828,0.028597922848664685,2,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
R2,2025,117871.06,81.9,280.0,195.9,3.79,199.0,1000.0,922.0,7,57.1,2401.0,5,0,14378,3.8,6,3.4188034188034186,420.9680714285714,0.41649312786339027,0.38400666389004584,0.034110787172011665,1,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Model X,2025,126875.08,98.3,345.0,202.5,4.3,198.0,914.0,835.0,7,65.4,1500.0,5,2,158417,3.71,5,3.5096642929806716,367.75385507246375,0.6093333333333333,0.5566666666666666,0.06553333333333333,1,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Picanto EV,2024,57850.5,101.6,350.0,134.1,5.74,162.0,632.0,525.0,5,39.7,1735.0,5,2,125554,3.47,4,3.4448818897637796,165.28714285714287,0.3642651296829971,0.3025936599423631,0.058559077809798264,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Max,2024,70890.54,64.5,242.0,135.7,7.45,138.0,713.0,594.0,7,77.4,2252.0,5,1,119629,3.38,4,3.751937984496124,292.9361157024793,0.316607460035524,0.26376554174067496,0.02864120781527531,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Picanto EV,2024,105759.07,79.7,278.0,170.3,3.07,200.0,1000.0,892.0,7,16.9,1819.0,3,2,107830,3.56,5,3.4880803011292345,380.428309352518,0.5497526113249038,0.49037932930181416,0.043815283122594834,2,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
i5,2025,83830.66,91.7,316.0,249.1,3.65,188.0,634.0,606.0,7,64.3,2285.0,4,1,61677,3.43,7,3.446019629225736,265.2868987341772,0.2774617067833698,0.26520787746170676,0.04013129102844639,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EQE,2026,148924.89,98.3,357.0,181.1,4.1,196.0,945.0,822.0,7,61.2,1889.0,4,2,66282,3.8,7,3.631739572736521,417.1565546218488,0.5002646903123346,0.4351508734780307,0.052038115404976173,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Atto 3,2022,49226.29,46.7,177.0,51.6,5.54,160.0,529.0,492.0,5,20.6,1609.0,5,1,172454,3.29,4,3.7901498929336186,278.11463276836156,0.32877563704164076,0.3057799875699192,0.029024238657551275,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model S,2025,29411.54,61.2,220.0,302.1,7.98,127.0,220.0,213.0,5,31.9,1705.0,5,2,206579,3.63,6,3.594771241830065,133.6888181818182,0.12903225806451613,0.1249266862170088,0.03589442815249267,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cybertruck,2024,107897.62,47.5,178.0,311.3,5.76,160.0,752.0,668.0,5,68.7,2227.0,5,2,188033,3.43,4,3.7473684210526317,606.166404494382,0.33767400089806915,0.29995509654243374,0.021329142343960484,2,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
e-tron GT,2022,137631.97,43.1,150.0,69.1,5.31,168.0,1000.0,941.0,5,68.3,2791.0,4,2,74974,3.3,5,3.480278422273782,917.5464666666667,0.35829451809387314,0.33715514152633463,0.015442493729845934,4,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
e-tron GT,2024,65798.71,76.8,250.0,129.7,6.28,160.0,369.0,263.0,7,50.6,2305.0,4,2,52856,3.77,8,3.2552083333333335,263.19484,0.16008676789587853,0.11409978308026031,0.033318872017353576,2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Niro EV,2022,93773.43,61.9,194.0,129.3,6.81,152.0,1000.0,944.0,5,60.1,2450.0,5,1,126881,3.6,3,3.134087237479806,483.3681958762886,0.40816326530612246,0.3853061224489796,0.02526530612244898,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Picanto EV,2024,57643.94,54.7,170.0,147.9,6.49,150.0,606.0,551.0,5,37.6,1686.0,5,1,149672,3.38,3,3.1078610603290673,339.082,0.3594306049822064,0.32680901542111507,0.032443653618030845,2,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i5,2022,102440.51,94.7,337.0,226.8,3.87,184.0,790.0,750.0,5,32.3,1545.0,3,2,23392,3.69,7,3.5586061246040126,303.9777744807121,0.511326860841424,0.4854368932038835,0.061294498381877026,4,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cybertruck,2024,49296.66,41.7,153.0,274.8,7.39,134.0,302.0,303.0,5,60.8,2643.0,5,3,241001,3.74,6,3.6690647482014387,322.2003921568628,0.1142640938327658,0.11464245175936436,0.015777525539160047,2,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
R1S,2024,118076.47,74.0,249.0,161.6,3.41,194.0,1000.0,911.0,7,35.5,1514.0,5,1,656,3.53,5,3.364864864864865,474.2026907630522,0.6605019815059445,0.6017173051519155,0.0488771466314399,2,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
ID.4,2023,69215.27,62.0,197.0,117.5,7.34,136.0,704.0,655.0,7,74.3,2586.0,5,1,211559,3.61,4,3.1774193548387095,351.3465482233503,0.2722351121423047,0.2532869296210363,0.02397525135344161,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
ID. Aero,2026,86339.6,57.8,217.0,149.7,7.31,145.0,1000.0,837.0,5,35.0,1882.0,5,0,279621,3.38,3,3.754325259515571,397.8783410138249,0.5313496280552603,0.4447396386822529,0.030712008501594047,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Ioniq 6,2023,41678.26,66.4,252.0,83.9,7.12,155.0,368.0,362.0,5,69.3,1580.0,4,1,52756,3.29,4,3.795180722891566,165.38992063492066,0.23291139240506328,0.2291139240506329,0.0420253164556962,3,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cybertruck,2025,131326.82,44.5,172.0,271.0,6.26,164.0,951.0,870.0,5,73.1,2711.0,5,2,195107,3.68,5,3.865168539325843,763.528023255814,0.35079306528956106,0.3209147915898193,0.016414607156030984,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Model X,2025,106034.49,82.6,286.0,201.7,6.63,151.0,719.0,582.0,7,75.5,1771.0,5,2,136623,3.7,6,3.4624697336561745,370.74996503496504,0.4059853190287973,0.3286278938452851,0.04664031620553359,1,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Blazer EV,2023,60380.4,91.2,308.0,182.4,3.99,199.0,753.0,660.0,7,76.9,1584.0,3,1,8909,3.76,3,3.3771929824561404,196.04025974025976,0.4753787878787879,0.4166666666666667,0.05757575757575758,3,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model Y,2024,141348.91,115.7,409.0,243.6,3.11,200.0,1000.0,942.0,5,26.6,1540.0,4,2,490678,4.51,4,3.5350043215211753,345.59635696821516,0.6493506493506493,0.6116883116883117,0.07512987012987013,2,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Picanto EV,2025,33502.19,82.4,304.0,74.7,7.22,144.0,220.0,238.0,7,76.5,1588.0,4,0,70571,3.47,4,3.6893203883495143,110.20457236842105,0.1385390428211587,0.14987405541561713,0.05188916876574308,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seagull,2025,98579.06,64.3,224.0,56.8,6.74,143.0,1000.0,891.0,5,19.3,1606.0,5,0,142672,3.25,3,3.4836702954898913,440.0850892857143,0.6226650062266501,0.5547945205479452,0.0400373599003736,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ID. Aero,2024,29413.61,69.3,264.0,107.2,7.54,131.0,186.0,208.0,5,38.3,2196.0,5,1,268683,3.64,4,3.8095238095238098,111.4151893939394,0.08469945355191257,0.0947176684881603,0.031557377049180324,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Atto 3,2025,32535.18,92.0,307.0,138.7,5.28,175.0,341.0,309.0,5,39.2,1704.0,4,2,218123,3.53,3,3.3369565217391304,105.97778501628665,0.20011737089201878,0.1813380281690141,0.0539906103286385,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ID.5,2024,106703.67,90.5,330.0,247.6,4.38,192.0,1000.0,884.0,7,61.7,1614.0,5,0,282713,3.53,3,3.6464088397790055,323.34445454545454,0.6195786864931846,0.5477075588599752,0.05607187112763321,2,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Bolt EUV,2025,61871.83,57.9,176.0,120.9,5.75,168.0,782.0,728.0,5,24.9,1500.0,5,0,10487,3.16,3,3.03972366148532,351.54448863636367,0.5213333333333333,0.48533333333333334,0.0386,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Yuan Plus,2024,31743.27,82.5,285.0,136.5,5.75,166.0,292.0,292.0,5,63.5,1787.0,4,1,226541,3.63,3,3.4545454545454546,111.3798947368421,0.1634023503077784,0.1634023503077784,0.04616675993284835,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sportage EV,2025,72347.59,112.0,369.0,204.8,4.18,185.0,800.0,714.0,7,37.5,2315.0,3,0,144057,3.62,3,3.294642857142857,196.06392953929537,0.34557235421166305,0.30842332613390927,0.04838012958963283,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ioniq 6,2025,47415.02,112.3,399.0,174.2,3.55,200.0,463.0,391.0,7,22.4,1581.0,5,2,102665,3.98,3,3.5529830810329477,118.83463659147868,0.2928526249209361,0.24731182795698925,0.07103099304237824,1,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
i4,2023,101992.19,49.3,168.0,109.7,5.58,165.0,804.0,703.0,7,32.1,1856.0,5,2,24913,3.34,6,3.4077079107505073,607.0963690476191,0.4331896551724138,0.37877155172413796,0.0265625,3,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EC6,2025,83405.89,75.4,277.0,62.0,5.21,164.0,723.0,689.0,7,74.9,1673.0,5,0,11073,3.32,5,3.6737400530503974,301.10429602888087,0.43215780035863716,0.4118350268977884,0.045068738792588166,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Blazer EV,2023,77802.21,81.5,300.0,152.9,3.57,195.0,1000.0,925.0,5,65.0,2508.0,5,1,18415,3.87,4,3.6809815950920246,259.3407,0.39872408293460926,0.36881977671451355,0.032496012759170655,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Atto 3,2024,53801.14,101.6,365.0,242.3,2.51,200.0,595.0,572.0,7,64.5,1590.0,5,0,168996,3.7,4,3.5925196850393704,147.40038356164382,0.3742138364779874,0.35974842767295595,0.06389937106918239,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model 3,2025,84190.57,98.0,350.0,308.3,4.72,182.0,592.0,522.0,7,32.0,1694.0,4,2,181874,3.94,4,3.5714285714285716,240.54448571428574,0.34946871310507677,0.30814639905548996,0.05785123966942149,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Qin,2023,40160.18,61.8,214.0,142.4,5.79,164.0,401.0,356.0,7,39.3,1500.0,5,0,234883,3.4,3,3.4627831715210355,187.66439252336448,0.2673333333333333,0.23733333333333334,0.0412,3,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EV6,2022,48028.48,102.7,351.0,182.0,3.29,200.0,489.0,421.0,5,27.7,1500.0,4,2,81607,3.7,5,3.4177215189873418,136.83327635327637,0.326,0.2806666666666667,0.06846666666666666,4,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model S,2026,120990.97,76.9,272.0,208.1,2.81,200.0,841.0,743.0,7,77.7,2847.0,4,2,177875,3.74,5,3.5370611183355005,444.81974264705883,0.29539866526167896,0.2609764664559185,0.02701088865472427,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
i30,2022,52457.02,61.6,184.0,60.7,7.28,139.0,503.0,465.0,5,26.9,1576.0,5,1,72150,3.34,5,2.987012987012987,285.0925,0.31916243654822335,0.2950507614213198,0.03908629441624366,4,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Picanto EV,2023,66396.28,40.4,150.0,72.8,5.36,172.0,763.0,668.0,7,23.5,1580.0,4,2,93251,3.17,3,3.712871287128713,442.64186666666666,0.4829113924050633,0.42278481012658226,0.025569620253164557,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Dolphin,2025,53719.72,48.4,150.0,130.4,5.96,160.0,629.0,556.0,7,38.7,1728.0,3,0,246801,3.15,5,3.0991735537190084,358.13146666666665,0.36400462962962965,0.32175925925925924,0.028009259259259258,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mustang Mach-E,2026,56792.12,67.2,207.0,138.4,7.7,135.0,555.0,485.0,5,51.2,2102.0,4,0,31784,3.24,4,3.080357142857143,274.35806763285024,0.26403425309229306,0.230732635585157,0.03196955280685062,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model S,2024,122807.61,51.0,203.0,348.4,5.61,177.0,905.0,784.0,7,78.0,1500.0,4,3,162784,3.67,6,3.980392156862745,604.9635960591133,0.6033333333333334,0.5226666666666666,0.034,2,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Model X,2025,153915.44,92.0,309.0,214.0,4.56,177.0,1000.0,955.0,5,73.2,1572.0,5,2,210826,3.64,5,3.358695652173913,498.10822006472495,0.6361323155216285,0.6075063613231552,0.058524173027989825,1,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Equinox EV,2025,28857.9,80.0,326.0,78.0,6.63,147.0,200.0,200.0,7,38.7,2241.0,4,0,24599,3.71,4,4.075,88.52116564417179,0.0892458723784025,0.0892458723784025,0.035698348951361,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Kona Electric,2024,53616.49,57.8,161.0,106.9,7.18,147.0,606.0,581.0,5,22.9,1500.0,5,0,78661,3.39,3,2.785467128027682,333.0216770186335,0.404,0.3873333333333333,0.03853333333333333,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
i5,2020,93337.36,72.7,232.0,51.4,5.06,176.0,720.0,650.0,5,54.7,2335.0,5,1,25170,3.43,8,3.1911966987620355,402.3162068965517,0.3083511777301927,0.278372591006424,0.03113490364025696,6,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID. Aero,2026,69769.06,45.0,150.0,144.8,7.91,140.0,724.0,672.0,7,25.0,1560.0,4,0,251078,3.0,4,3.3333333333333335,465.1270666666667,0.4641025641025641,0.4307692307692308,0.028846153846153848,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Yuan Plus,2026,35604.12,69.8,235.0,114.5,5.44,174.0,380.0,335.0,5,60.0,2708.0,5,0,210674,3.59,3,3.36676217765043,151.5068936170213,0.14032496307237813,0.12370753323485968,0.025775480059084192,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F-150 Lightning,2025,91074.2,83.3,309.0,123.8,5.32,165.0,1000.0,875.0,4,59.8,2537.0,5,1,78477,3.54,5,3.709483793517407,294.7385113268608,0.3941663381947182,0.3448955459203784,0.03283405597162002,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
E-Transit,2022,72686.4,58.3,197.0,55.6,7.84,135.0,806.0,761.0,7,34.3,1507.0,3,0,32038,3.44,3,3.379073756432247,368.9664974619289,0.5348374253483743,0.5049767750497678,0.03868613138686131,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bolt EV,2024,43772.41,113.5,369.0,244.5,3.14,192.0,465.0,370.0,7,55.5,2127.0,4,0,13494,3.81,4,3.251101321585903,118.62441734417345,0.21861777150916784,0.17395392571697227,0.053361542078044194,2,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Max,2025,100296.35,81.5,290.0,71.6,7.14,143.0,1000.0,904.0,7,33.3,1686.0,4,0,155370,3.84,4,3.558282208588957,345.8494827586207,0.5931198102016607,0.5361803084223014,0.04833926453143535,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Picanto EV,2026,70115.71,95.5,342.0,140.0,4.95,168.0,873.0,766.0,5,38.2,1535.0,5,0,82992,3.83,4,3.581151832460733,205.01669590643277,0.5687296416938111,0.4990228013029316,0.06221498371335505,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ID. Buzz,2026,70180.35,48.8,170.0,145.0,6.15,159.0,702.0,698.0,5,63.5,2406.0,4,0,220918,3.38,4,3.4836065573770494,412.82558823529416,0.29177057356608477,0.29010806317539484,0.02028262676641729,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Model 3,2023,50661.72,45.0,150.0,321.1,7.4,132.0,355.0,361.0,5,58.9,2602.0,5,2,240645,3.26,6,3.3333333333333335,337.7448,0.13643351268255188,0.13873943120676402,0.017294388931591083,3,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
R1S,2023,71764.23,63.3,216.0,111.8,5.26,179.0,267.0,240.0,5,25.4,1532.0,4,1,16601,3.25,4,3.4123222748815167,332.2418055555555,0.17428198433420367,0.1566579634464752,0.04131853785900783,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Model Y,2024,118291.58,82.5,290.0,268.0,6.17,157.0,828.0,772.0,5,51.0,2443.0,5,2,419454,3.57,4,3.515151515151515,407.902,0.3389275480966025,0.31600491199345065,0.03376995497339337,2,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
bZ Compact SUV,2025,65608.6,60.1,208.0,67.8,6.65,154.0,816.0,769.0,5,56.9,1949.0,4,1,24977,3.36,5,3.4608985024958403,315.4259615384616,0.41867624422780914,0.39456131349409956,0.030836326321190356,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
